Resolution,Site,Year_Month,Total_surface_dic_masked,Mean_k_ddic
0.25,12,2006_10,372909730342.2743,1.9174722935206476
0.25,4,2006_11,484110191206.3526,0.6867913123025667
0.25,7,2006_11,115345661921.6714,0.9963862862868881
0.25,12,2006_11,333462975809.1263,1.6048909945615122
0.25,4,2006_12,471098714139.1165,0.8477981030594592
0.25,7,2006_12,89851206636.5687,0.8684479955646566
0.25,12,2006_12,273739559923.24823,1.3257346635657534
0.25,4,2007_1,449914358074.69324,0.8517684354330805
0.25,7,2007_1,72052955214.89417,0.9227722319279204
0.25,12,2007_1,203958659243.95428,1.5010341310683535
0.25,4,2007_2,423569536393.0448,0.8489737770636707
0.25,7,2007_2,63326967558.692924,1.0869748063093942
0.25,12,2007_2,164989454839.20233,1.2070731122240401
0.25,4,2007_3,396304956251.53815,0.8445664556825131
0.25,7,2007_3,59422188895.61648,1.058674005978876
0.25,12,2007_3,164619525569.22256,1.9302532108630228
0.25,4,2007_4,370004982651.63464,0.6889184260980987
0.25,7,2007_4,60952354888.51098,1.0235877353339211
0.25,12,2007_4,173010788299.74957,1.6792209909359448
0.25,4,2007_5,339579153913.0412,0.699887748228236
0.25,7,2007_5,67335391460.88556,1.3105574418633141
0.25,12,2007_5,189108734105.65216,1.2484400907596136
0.25,4,2007_6,302727459497.4232,0.7128756556650104
0.25,7,2007_6,71788185279.70848,1.5597031860726291
0.25,12,2007_6,205177340133.0429,1.5111126331867166
0.25,4,2007_7,271753845468.19394,0.7260151659945022
0.25,7,2007_7,86775586407.9802,1.8846011170281909
0.25,12,2007_7,214327520554.14713,1.7928198849844064
0.25,4,2007_8,246793130737.67484,0.7284240024279348
0.25,7,2007_8,100846727899.30597,1.8895331739497485
0.25,12,2007_8,216222195840.6755,1.8412093923054547
0.25,4,2007_9,229889572219.903,0.6171689496871549
0.25,7,2007_9,107037394872.0819,1.9682820033166828
0.25,12,2007_9,211908941683.6319,1.9439163917528728
0.25,4,2007_10,219974186349.08954,0.6962757941080673
0.25,7,2007_10,96223176512.19142,1.188248108334831
0.25,12,2007_10,204609145550.49725,2.072029625521442
0.25,4,2007_11,216855923448.68054,0.7577662660049141
0.25,7,2007_11,78832796012.78265,0.9871298660674609
0.25,12,2007_11,192744860057.17676,1.286610166790352
0.25,4,2007_12,213838122166.71384,0.8412965718400847
0.25,7,2007_12,62736304426.03642,0.9851419904867005
0.25,12,2007_12,168178118176.13922,1.5015805160029212
1,4,2004_01,7275895776406.17,0.5349155811136717
1,7,2004_01,7844467144152.594,1.6464470903814419
1,12,2004_01,24037364250705.2,0.7858961230962367
1,4,2004_02,8072877449190.067,0.6029011268066665
1,7,2004_02,10226496999605.566,1.3817648030329692
1,12,2004_02,21571614621557.15,0.9141528157826722
1,4,2004_03,6782398578018.24,0.839627049319714
1,7,2004_03,6340639059571.595,1.4048962951334696
1,12,2004_03,11506735061119.154,1.3019824786080443
1,4,2004_04,6388153563316.654,0.7421538326893709
1,7,2004_04,4232044854729.66,0.7073384893613237
1,12,2004_04,7368686560748.758,1.1936626202223048
1,4,2004_05,6699415461713.758,0.9628291733188814
1,7,2004_05,2721138335975.17,0.9712374610342772
1,12,2004_05,4478214066649.306,2.1020905460218873
1,4,2004_06,6148298432725.23,0.9960532982190223
1,7,2004_06,1620513561170.2937,1.274844012207208
1,12,2004_06,2587615247376.9717,1.1956732320078147
1,4,2004_07,5603073516744.661,0.7845024517937015
1,7,2004_07,1056290412490.3904,0.925281119182598
1,12,2004_07,1706010742644.2134,1.8938320021894803
1,4,2004_08,5024870158358.494,0.7468522461065453
1,7,2004_08,784963053191.0717,1.329774073785141
1,12,2004_08,1152317603900.3408,1.835741350463766
1,4,2004_09,4446521634230.436,0.5323990951966925
1,7,2004_09,639818761770.638,0.8686945828397661
1,12,2004_09,949440202385.2024,2.031018806197611
1,4,2004_10,4154867514827.3325,0.5661082701095378
1,7,2004_10,560692193936.0957,1.0785411209497435
1,12,2004_10,892374014404.2051,1.6763825274624857
1,4,2004_11,3752860628391.599,0.7236586137773242
1,7,2004_11,476200530461.779,1.0403725926301854
1,12,2004_11,850750278490.6636,1.4150741197104233
1,4,2004_12,3191261737150.2134,0.7204829338815766
1,7,2004_12,361585005858.7303,1.0195235529760698
1,12,2004_12,744740513356.3428,0.8562970765804789
1,4,2005_01,2650505297739.825,0.9443666753912935
1,7,2005_01,305427553134.35474,1.3366843200679603
1,12,2005_01,654225009998.0828,1.2493477538568012
1,4,2005_02,2176111451795.5383,0.9283873556446446
1,7,2005_02,270091824262.9095,1.1378208849988587
1,12,2005_02,544608637227.7391,1.2269600451335982
1,4,2005_03,1888783216628.6404,0.8253963941908338
1,7,2005_03,227618190307.1524,0.8517648386900247
1,12,2005_03,506514386347.2528,1.0414343910020003
1,4,2005_04,1673719976743.4968,0.8271033466791686
1,7,2005_04,202065645420.76483,0.8518778410673918
1,12,2005_04,528753623289.3351,1.7552178823777669
1,4,2005_05,1485706293719.3408,0.6583753148193853
1,7,2005_05,176608625018.2388,1.0565205819006969
1,12,2005_05,552445737746.2229,1.2327830473670187
1,4,2005_06,1307681751585.2488,0.7072479057072989
1,7,2005_06,184794719101.00552,1.5021284508092543
1,12,2005_06,559025885451.9434,1.4866061987381616
1,4,2005_07,1221537103482.6345,0.7136250273323962
1,7,2005_07,212343748209.46655,1.4204195070871093
1,12,2005_07,553096680233.995,1.431114490365681
1,4,2005_08,1163994561071.799,0.6217571215815003
1,7,2005_08,233008328121.82724,1.3517335098375391
1,12,2005_08,527467088515.4291,1.9186330545781756
1,4,2005_09,1133182446730.9336,0.5685131356891834
1,7,2005_09,251336653119.43942,1.7162997657615469
1,12,2005_09,468224140016.1402,1.187676720614403
1,4,2005_10,1127317430381.2048,0.652753278936615
1,7,2005_10,245305209014.68506,1.2300383512212916
1,12,2005_10,411268997164.94226,1.8275103996416338
1,4,2005_11,1087324852152.6471,0.7360017487024094
1,7,2005_11,204682995417.83542,1.1246016362066549
1,12,2005_11,370839570455.9984,1.1896433849357528
1,4,2005_12,1015602547015.6686,0.7550890703066662
1,7,2005_12,158414189720.0245,1.178642881954384
1,12,2005_12,312592201059.0456,1.3560621383015758
1,4,2006_01,945845137471.7346,1.0097878820170665
1,7,2006_01,120773051951.3176,1.4492916082994423
1,12,2006_01,237534631963.60895,1.1571374039582487
1,4,2006_02,859989271323.6641,0.9194038767172192
1,7,2006_02,100955546897.5076,1.0837752724211525
1,12,2006_02,179268805558.99442,1.0713773184198396
1,4,2006_03,786624978750.2883,0.814351186523996
1,7,2006_03,82193487082.44514,1.1022920890646823
1,12,2006_03,172904059167.3708,1.5012357720139655
1,4,2006_04,717627009999.635,0.6842771815099102
1,7,2006_04,78214773957.36182,0.8948927200400962
1,12,2006_04,192904807139.24634,1.6903031087620821
1,4,2006_05,642086341506.75,0.6286064855950348
1,7,2006_05,76737628059.83969,0.7968989790565727
1,12,2006_05,226834075688.94214,1.8066829621582596
1,4,2006_06,580901468917.2375,0.6962443117100824
1,7,2006_06,85073761387.74925,0.9503244701717141
1,12,2006_06,242726943729.0652,1.796113058162039
1,4,2006_07,539448299896.10486,0.7312922218826082
1,7,2006_07,92707543776.82603,1.2438324800494747
1,12,2006_07,250110284047.7084,2.3468888877108607
1,4,2006_08,503915064619.2322,0.628711500663797
1,7,2006_08,103677235755.70467,1.6298171544935167
1,12,2006_08,244077141938.7596,1.0889921687925406
1,4,2006_09,488164142013.04285,0.5922741388570365
1,7,2006_09,108088930769.99077,1.3273686791632295
1,12,2006_09,236642328149.26306,1.8729341986258978
1,4,2006_10,473168413871.2653,0.635294832602466
1,7,2006_10,97048054020.70476,1.2624232585890258
1,12,2006_10,227421040336.7196,1.7677384495416233
1,4,2006_11,456198887534.1137,0.6831668627710665
1,7,2006_11,77485227925.13063,1.0793968011743849
1,12,2006_11,207190163232.5199,1.5182956517173605
1,4,2006_12,441350912898.26465,0.8782568227524502
1,7,2006_12,59415524071.19616,1.0291610802250521
1,12,2006_12,168879157387.74573,1.1520058694029216
1,4,2007_01,419673010691.86005,0.8927666504394749
1,7,2007_01,47128773266.75388,1.057869776361105
1,12,2007_01,122570112130.49084,1.4171643318040197
