Resolution,Site,Year_Month,Total_surface_dic_masked,MeanTemp,MeanTemp_whole_mask_no_weighted
0.25,4,2005_2,2404298455650.5635,26.99273619110795,11.647180175781273
0.25,7,2005_2,361389154322.55176,19.8761580415308,23.586419677734398
0.25,12,2005_2,871137707942.1215,-1.3106162078637453,3.8294616699218977
0.25,4,2005_3,2121364248667.4082,27.135492565935863,11.665368652343773
0.25,7,2005_3,316741122952.9797,20.04721695723231,23.684228515625023
0.25,12,2005_3,843393880507.3605,-1.6673450617856815,3.2885986328125227
0.25,4,2005_4,1898346282041.742,27.330650790611003,11.918634033203148
0.25,7,2005_4,296088343201.6273,18.97017899501418,23.436334228515648
0.25,12,2005_4,865961580256.6393,-1.8099465355883808,2.4743591308593977
0.25,4,2005_5,1752895141525.8452,27.63966420919843,12.494836425781273
0.25,7,2005_5,288808189773.05817,17.902139416289458,23.071099853515648
0.25,12,2005_5,873556200684.13,-1.8410254786256246,1.8567443847656477
0.25,4,2005_6,1596219021468.639,27.715462428367516,13.597680664062523
0.25,7,2005_6,318380727185.3586,16.63930805858081,22.469598388671898
0.25,12,2005_6,882446412309.9359,-1.8487396705367587,1.4434143066406477
0.25,4,2005_7,1483103792512.4443,27.734202117626637,14.863580322265648
0.25,7,2005_7,353675800783.9646,15.553862431415098,21.936853027343773
0.25,12,2005_7,879131880555.6029,-1.8516434120522263,1.1226135253906477
0.25,4,2005_8,1381683317632.165,27.82625225620319,15.485314941406273
0.25,7,2005_8,364316588953.547,15.151169265197325,21.631707763671898
0.25,12,2005_8,846390788807.8231,-1.8481176923283442,0.9357543945312727
0.25,4,2005_9,1312184156694.7288,27.877504099892235,14.948785400390648
0.25,7,2005_9,359065130091.11566,14.83907413948657,21.621728515625023
0.25,12,2005_9,785046685434.555,-1.8437807515659301,0.8846984863281477
0.25,4,2005_10,1272442360451.5637,27.715436962574188,13.900018310546898
0.25,7,2005_10,334669841927.38776,14.916603999954134,21.929101562500023
0.25,12,2005_10,712134952276.761,-1.7951203296336757,0.9828430175781477
0.25,4,2005_11,1210136213299.0552,27.2059576604903,12.974328613281273
0.25,7,2005_11,271926233497.4546,15.816898698086504,22.346551513671898
0.25,12,2005_11,644655734910.9133,-1.447383902688557,1.3809448242187727
0.25,4,2005_12,1116429303817.6018,26.765483228325763,12.279656982421898
0.25,7,2005_12,208685371057.80847,16.929211147585136,22.895562744140648
0.25,12,2005_12,539806043356.7528,-0.8897247560203141,2.3249145507812727
0.25,4,2006_1,1034784968561.8911,26.34624562971868,11.842675781250023
0.25,7,2006_1,157168754037.36386,18.539091916890868,23.198480224609398
0.25,12,2006_1,417138137593.6339,0.16529724748687613,3.6697326660156477
0.25,4,2006_2,946140572939.0693,26.171903389700333,11.639123535156273
0.25,7,2006_2,131188917283.58324,19.065199727681374,23.503167724609398
0.25,12,2006_2,321648898061.7587,0.478429570589185,3.9956909179687727
0.25,4,2006_3,868339533027.8004,26.33065366411654,11.621911621093773
0.25,7,2006_3,109292939423.10765,19.38999951799417,23.528131103515648
0.25,12,2006_3,308676556220.41174,-0.4331696273570742,3.4990173339843977
0.25,4,2006_4,795413362856.7693,26.710446276534526,11.923364257812523
0.25,7,2006_4,109018825130.79138,18.256693342412404,23.338555908203148
0.25,12,2006_4,343362183536.40326,-1.3380394703546017,2.6453796386718977
0.25,4,2006_5,726847145842.716,26.979935496035864,12.625543212890648
0.25,7,2006_5,117300525710.35452,17.265697425721044,23.017266845703148
0.25,12,2006_5,403649053694.7431,-1.678980150114569,1.9509216308593977
0.25,4,2006_6,666462306681.9635,27.213927673923422,13.694238281250023
0.25,7,2006_6,130831186591.74303,16.19836578661591,22.465570068359398
0.25,12,2006_6,431424454709.20044,-1.7803727426871774,1.4391723632812727
0.25,4,2006_7,608197522417.0757,27.237218461256873,14.953424072265648
0.25,7,2006_7,143098306446.268,15.439503202432377,21.897454833984398
0.25,12,2006_7,439098907630.3043,-1.8227844106986595,1.1267944335937727
0.25,4,2006_8,559499261231.248,27.286408462830025,15.622827148437523
0.25,7,2006_8,161338015787.50125,14.888585892657375,21.586846923828148
0.25,12,2006_8,425605912293.1497,-1.8267961500459364,0.9317260742187727
0.25,4,2006_9,530808455427.0798,27.32562372921842,15.119500732421898
0.25,7,2006_9,163170868102.3661,14.841869890246357,21.621453857421898
0.25,12,2006_9,400581897832.32324,-1.8304520020984114,0.8637634277343977
0.25,4,2006_10,505017485470.3615,27.18994560442593,14.083734130859398
0.25,7,2006_10,145032045255.63196,15.188660171248273,21.790399169921898
0.25,12,2006_10,372909730342.2743,-1.7987965433401882,0.9684387207031477
0.25,4,2006_11,484110191206.3526,26.758526396304717,13.046868896484398
0.25,7,2006_11,115345661921.6714,16.873905714627824,22.384881591796898
0.25,12,2006_11,333462975809.1263,-1.483030653710216,1.3239379882812727
0.25,4,2006_12,471098714139.1165,26.18276040700846,12.326623535156273
0.25,7,2006_12,89851206636.5687,18.27665189373056,22.908715820312523
0.25,12,2006_12,273739559923.24823,-0.6825862528683047,2.3030334472656477
0.25,4,2007_1,449914358074.69324,25.835901292079086,11.914575195312523
0.25,7,2007_1,72052955214.89417,19.244636727368004,23.353997802734398
0.25,12,2007_1,203958659243.95428,-0.17496862212874476,3.3408447265625227
0.25,4,2007_2,423569536393.0448,25.84421412930726,11.718865966796898
0.25,7,2007_2,63326967558.692924,19.72486393439152,23.670281982421898
0.25,12,2007_2,164989454839.20233,-0.06351900736683547,3.7354675292968977
0.25,4,2007_3,396304956251.53815,25.919751596928734,11.694512939453148
0.25,7,2007_3,59422188895.61648,19.211486498855777,23.617028808593773
0.25,12,2007_3,164619525569.22256,-0.9188253908078536,3.2924133300781477
0.25,4,2007_4,370004982651.63464,26.21099585161693,11.950830078125023
0.25,7,2007_4,60952354888.51098,18.1900539282571,23.400506591796898
0.25,12,2007_4,173010788299.74957,-1.3843173171926537,2.5722900390625227
0.25,4,2007_5,339579153913.0412,26.505537271754974,12.524468994140648
0.25,7,2007_5,67335391460.88556,16.85981195128312,23.038873291015648
0.25,12,2007_5,189108734105.65216,-1.6806802342734954,1.8868652343750227
0.25,4,2007_6,302727459497.4232,26.62791973618164,13.532250976562523
